,x,y,z,idx
368,39.0,91.333336,47.0,10
369,40.0,91.333336,47.0,10
370,41.0,91.333336,47.0,10
371,42.333332,91.0,47.0,10
372,42.0,91.333336,47.0,10
373,44.666668,91.0,47.0,10
374,45.0,91.333336,47.0,10
375,46.0,91.333336,47.0,10
376,47.0,91.333336,47.0,10
377,48.0,91.333336,47.0,10
378,49.0,91.333336,47.0,10
379,50.0,91.333336,47.0,10
380,51.0,91.333336,47.0,10
381,52.0,91.333336,47.0,10
382,53.0,91.333336,47.0,10
383,53.0,91.0,47.333332,10
384,54.333332,91.0,47.0,10
385,54.0,91.333336,47.0,10
386,54.0,91.0,47.333332,10
387,55.0,91.666664,47.0,10
388,56.666668,91.0,47.0,10
389,56.0,91.666664,47.0,10
390,57.0,91.0,47.333332,10
391,22.333334,92.0,47.0,10
392,22.0,92.0,47.333332,10
393,54.666668,92.0,47.0,10
394,54.0,92.666664,47.0,10
395,55.0,92.0,47.333332,10
396,56.0,92.0,47.333332,10
397,22.333334,93.0,47.0,10
398,23.0,93.666664,47.0,10
399,53.666668,93.0,47.0,10
400,53.0,93.666664,47.0,10
401,54.0,93.0,47.333332,10
402,23.333334,94.0,47.0,10
403,24.0,94.666664,47.0,10
404,52.666668,94.0,47.0,10
405,52.0,94.666664,47.0,10
406,53.0,94.0,47.333332,10
407,24.333334,95.0,47.0,10
408,25.0,95.666664,47.0,10
409,50.0,95.666664,47.0,10
410,51.666668,95.0,47.0,10
411,51.0,95.666664,47.0,10
412,25.333334,96.0,47.0,10
413,26.0,96.666664,47.0,10
414,27.0,96.666664,47.0,10
415,48.0,96.666664,47.0,10
416,49.666668,96.0,47.0,10
417,49.0,96.666664,47.0,10
418,50.0,96.0,47.333332,10
419,27.333334,97.0,47.0,10
420,27.0,97.0,47.333332,10
421,28.0,97.666664,47.0,10
422,29.0,97.666664,47.0,10
423,45.0,97.666664,47.0,10
424,46.0,97.666664,47.0,10
425,47.666668,97.0,47.0,10
426,47.0,97.666664,47.0,10
427,48.0,97.0,47.333332,10
428,29.333334,98.0,47.0,10
429,29.0,98.0,47.333332,10
430,30.0,98.666664,47.0,10
431,31.0,98.666664,47.0,10
432,32.0,98.666664,47.0,10
433,42.0,98.666664,47.0,10
434,43.0,98.666664,47.0,10
435,44.666668,98.0,47.0,10
436,44.0,98.666664,47.0,10
437,45.0,98.0,47.333332,10
438,46.0,98.0,47.333332,10
439,31.0,99.0,47.333332,10
440,32.333332,99.0,47.0,10
441,32.0,99.0,47.333332,10
442,33.0,99.666664,47.0,10
443,34.0,99.666664,47.0,10
444,35.0,99.666664,47.0,10
445,36.0,99.666664,47.0,10
446,37.0,99.666664,47.0,10
447,38.0,99.666664,47.0,10
448,39.0,99.666664,47.0,10
449,40.0,99.666664,47.0,10
450,41.666668,99.0,47.0,10
451,41.0,99.666664,47.0,10
452,42.0,99.0,47.333332,10
453,36.0,100.0,47.333332,10
454,37.0,100.0,47.333332,10
455,38.0,100.0,47.333332,10
456,22.0,82.0,48.333332,10
457,63.0,82.333336,48.0,10
458,22.0,83.0,48.333332,10
459,23.0,83.0,48.333332,10
460,61.0,83.333336,48.0,10
461,61.0,83.0,48.333332,10
462,62.333332,83.0,48.0,10
